seed,anchor,rec,label
1013949,"Let \\(K\\) be an algebraically closed field of characteristic zero, \\(F\\) be a vector space of dimension \\(n\\) and \\(S_\\lambda F\\) be the Schur module associated to the partition \\(\\lambda = (\\lambda_1 ,\\dots, \\lambda_m )\\), where \\(1 \\leq m \\leq n\\). Let \\(m \\leq r \\leq n\\). The variety \\(X_r\\) of tensors of rank \\(\\leq r\\) is defined to be the set of all tensors \\(v\\) in \\(S_\\lambda F\\) such that there exists a subspace \\(F'\\) of \\(F\\) with \\(\\text{dim } F' = r\\) and \\(v \\in S_\\lambda F' \\subset S_\\lambda F\\). When \\(\\lambda = (2)\\) or \\(\\lambda = (1,1)\\) these rank varieties are well-understood. In particular, the minimal free resolution of \\({\\mathcal O}_{X_r}\\) was described by \\textit{T. JÃ³zefiak}, \\textit{P. Pragacz} and \\textit{J. Weyman} [AstÃ©risque 87-88, 109-189 (1981; Zbl 0488.14012)]. The current paper uses the approach of this paper to generalize some of their results to rank varieties \\(X_r \\subset S_\\lambda F\\) for an arbitrary partition \\(\\lambda\\). The author gives a set of equations defining \\(X_r\\) set-theoretically and obtains a minimal free resolution of \\({\\mathcal O}_{X_r}\\). This yields the dimension of \\(X_r\\) and gives that they are normal and Cohen-Macaulay and have rational singularities. The author gives more precise results in the special case of rank varieties in \\(S_d F\\) for \\(d >2\\). Finally, the case of rank varieties of skewsymmetric tensors is studied.","Verf. nimmt an, daß drei endliche Massen vorhanden sind, die sich nach dem Gesetz \(m_im_jf(r_{ij})\) anziehen, in dem \(f\) eine beliebige analytische Funktion bedeutet. Er interessiert sich für den binären Stoß. Zunächst gibt er für eine Anzahl von Größen Approximationen an, die das Verhalten in der Nähe dieser Singularität klar erkennen lassen.",0
1303018,"In this summer school lecture, meant for non-experts, the author gives an as much as possible down to earth presentation of recent results related to heights. Given an algebraic number \\(\\alpha\\), let \\(h(\\alpha)\\) denote its absolute multiplicative Weil height, that is, if \\(\\alpha\\) has minimal polynomial \\(f(X)=a(X-\\alpha_1)\\cdots (X-\\alpha_d)\\in{\\mathbb{Z}}[X]\\) with coefficients having gcd \\(1\\), then \\(h(\\alpha)={1\\over d}\\log (| a| \\prod_{i=1}^d\\max (1,| \\alpha_i|))\\). \n\n\nThe author starts from scratch with basic facts about absolute values and heights, then proves a basic version of Siegel's lemma, discusses Lehmer's conjecture that for \\(\\alpha\\) not equal to a root of unity one has \\(h(\\alpha)>c_1/d\\) for some absolute constant \\(c_1>0\\) and proves Dobrowolski's result that \\(h(\\alpha)>(c_2/d)(\\log\\log d/\\log d)^3\\) for some constant \\(c_2>0\\). More generally, for a point \\({\\mathbf a}=(\\alpha_1,\\ldots ,\\alpha_n)\\) in \\({\\mathbb{G}}_m^n(\\overline{\\mathbb{Q}})=(\\overline{\\mathbb{Q}}^*)^n\\) one defines \\(h_s({\\mathbf a})=\\sum_{i=1}^n h(\\alpha_i)\\).\n\n\nThe author discusses S. Zhang's result that an algebraic point lying on a curve in \\({\\mathbb{G}}_m^n\\) have \\(h_s\\)-height bounded below by a positive constant (whatever its field of definition) and goes into improvements and extensions, by Beukers and Zagier and by himself. In particular, the author gives in the most general situation, for any arbitrary subvariety of \\({\\mathbb{G}}_m^n\\) defined over \\(\\overline{\\mathbb{Q}}\\) an explicit lower bound in terms of that variety for the height of an algebraic point lying on that variety.\n\nFor the entire collection see [Zbl 0905.00051].","Let \\(\\alpha\\) be a number algebraic over the rationals and let \\(H(\\alpha)\\) denote the absolute logarithmic height of \\(\\alpha\\), which can be defined as \\(H(\\alpha)= \\log M(f)^{1/n}\\), where \\(\\alpha\\) is a root of the irreducible polynomial \\(f(x)\\) with rational coefficients and degree \\(n\\), and where \\(M(f)\\) denotes the Mahler measure of \\(f\\). The author gives an elementary proof of a sharp version of a remarkable inequality of Shouwu Zhang. He shows that, for all \\(\\alpha\\neq 0,1\\), \\((1\\pm\\sqrt{-3})/2\\), the following inequality holds: \n\\[\nH(\\alpha)+ H(1-\\alpha)\\geq {1\\over 2} \\log {{1+\\sqrt{5}}\\over 2}= 0.2406059\\dots,\n\\]\n with equality if and only if \\(\\alpha\\) or \\(1-\\alpha\\) is a primitive 10th root of unity. He also proves a sharp projective version of this inequality for the curve \\(x+y+z=0\\) and gives an outline of how to prove similar results for other curves.",1
1619869,"Summary: Let \\(G\\) be a finite cyclic subgroup of \\(GL(2, \\mathbb{C})\\) of order \\(n\\) which contains no reflections. Let \\(\\mathbb{A}^2\\) be the complex affine plane. We consider a certain subscheme \\(\\text{Hilb}^G (\\mathbb{A}^2)\\) of \\(\\text{Hilb}^n(\\mathbb{A}^2)\\) consisting of \\(G\\)-invariant zero-dimensional subschemes of length \\(n\\). We describe the structure of \\(\\text{Hilb}^G (\\mathbb{A}^2)\\) and prove this is the minimal resolution of the quotient surface singularity \\(\\mathbb{A}^2/G\\).","zbMATH_ID
1597921    Summary: Let \\(G\\) be a finite group of auto...
1597921    Summary: Let \\(G\\) be a finite group of auto...
Name: text, dtype: object",1
1341964,"zbMATH_ID
1341964    The article consists of two parts. In the firs...
1341964    The article consists of two parts. In the firs...
Name: text, dtype: object","zbMATH_ID
1441724    Based in part on the authors' preface: The Kle...
1441724    Based in part on the authors' preface: The Kle...
Name: text, dtype: object",1
1619869,"Summary: Let \\(G\\) be a finite cyclic subgroup of \\(GL(2, \\mathbb{C})\\) of order \\(n\\) which contains no reflections. Let \\(\\mathbb{A}^2\\) be the complex affine plane. We consider a certain subscheme \\(\\text{Hilb}^G (\\mathbb{A}^2)\\) of \\(\\text{Hilb}^n(\\mathbb{A}^2)\\) consisting of \\(G\\)-invariant zero-dimensional subschemes of length \\(n\\). We describe the structure of \\(\\text{Hilb}^G (\\mathbb{A}^2)\\) and prove this is the minimal resolution of the quotient surface singularity \\(\\mathbb{A}^2/G\\).","zbMATH_ID
6099539    Summary: This is the second in a series of pap...
6099539    Summary: This is the second in a series of pap...
Name: text, dtype: object",1
1013949,"Let \\(K\\) be an algebraically closed field of characteristic zero, \\(F\\) be a vector space of dimension \\(n\\) and \\(S_\\lambda F\\) be the Schur module associated to the partition \\(\\lambda = (\\lambda_1 ,\\dots, \\lambda_m )\\), where \\(1 \\leq m \\leq n\\). Let \\(m \\leq r \\leq n\\). The variety \\(X_r\\) of tensors of rank \\(\\leq r\\) is defined to be the set of all tensors \\(v\\) in \\(S_\\lambda F\\) such that there exists a subspace \\(F'\\) of \\(F\\) with \\(\\text{dim } F' = r\\) and \\(v \\in S_\\lambda F' \\subset S_\\lambda F\\). When \\(\\lambda = (2)\\) or \\(\\lambda = (1,1)\\) these rank varieties are well-understood. In particular, the minimal free resolution of \\({\\mathcal O}_{X_r}\\) was described by \\textit{T. JÃ³zefiak}, \\textit{P. Pragacz} and \\textit{J. Weyman} [AstÃ©risque 87-88, 109-189 (1981; Zbl 0488.14012)]. The current paper uses the approach of this paper to generalize some of their results to rank varieties \\(X_r \\subset S_\\lambda F\\) for an arbitrary partition \\(\\lambda\\). The author gives a set of equations defining \\(X_r\\) set-theoretically and obtains a minimal free resolution of \\({\\mathcal O}_{X_r}\\). This yields the dimension of \\(X_r\\) and gives that they are normal and Cohen-Macaulay and have rational singularities. The author gives more precise results in the special case of rank varieties in \\(S_d F\\) for \\(d >2\\). Finally, the case of rank varieties of skewsymmetric tensors is studied.","The author proves that for \(d\geq 4\) the symplectic groups Sp\((2d,2)\) in their doubly transitive actions of degrees \(2^{2d-1} \pm 2^{d-1}\) have no sharply 2-transitive subsets. In fact, the point stabilizers O\({}^\pm (2d, 2)\) of these actions contain no sharply transitive subsets. This is proved by combinatorial arguments, using contradiction subsets in the sense of \textit{P. Müller} and \textit{G. P. Nagy} [Adv. Math. Commun. 5, No. 2, 303--308 (2011; Zbl 1229.20002)], thus simplifying the proof of Theorem 1.5 in [the reviewer and \textit{P. Müller}, Beitr. Algebra Geom. 50, No. 1, 143--154 (2009; Zbl 1165.20002)].",0
1058016,"This is a very well written survey of the state-of-the-art of the mathematical aspects of mirror symmetry in 1994. A postscript has been added summing up further developments until 1997. \n\n\nThe first chapter explains the origin and physical relevance of mirror symmetry in a very appealing way for mathematicians. It ends with the most clear description of what mirror symmetry is: They could be pairs of complex manifolds (both with trivial tangent bundle) producing the same physics for string compactification, but with the corresponding \\(A\\)-model and \\(B\\)-models exchanged. In particular there should be formulas relating the \\(A\\)-model correlation functions of one manifold (which count the number of rational curves) with the \\(B\\)-model correlation functions of the other (which are related to period integrals). -- The next chapters give a highly readable account of all the pieces involved in mirror symmetry, counting rational curves in Calabi-Yau threefolds, Gromov-Witten invariants how they encode \\(A\\)-model correlation functions, quantum cohomology, moduli of sigma models, geometric variations of the Hodge structure and its relationship with \\(B\\)-model correlation functions, and \\(A\\)-variations of the Hodge structure (related to the geometric variations on the mirror). \n\n\nThe last chapter deals with mirror symmetry itself and describes the different geometric models (or definitions) for the mirror dual of a Calabi-Yau known in 1994. The first model is the \\textit{B. R. Green} and \\textit{A. R. Plesser} orbifold construction [Nucl. Phys. B 338, No. 1, 15-37 (1990)]; the second one is due to \\textit{V. V. Batyrev} [J. Algebr. Geom. 3, No. 3, 493-535 (1994; Zbl 0829.14023)] and works for an arbitrary family of Calabi-Yau hypersurfaces in toric varieties. Those families \\(\\{M_t\\}\\) of varieties have an associated reflexive polyhedron in \\(L\\otimes_{\\mathbb Z}\\mathbb R\\), where \\(L\\) is the real monomial lattice of the torus of which the toric variety is a compactification. The polar polyhedron is also reflexive and then determines a new family \\(\\{W_t\\}\\) of Calabi-Yau threefolds; the mirror conjecture in this case states that \\(\\{W_t\\}\\) is the dual mirror of \\(\\{M_t\\}\\). The third construction was done by \\textit{C. Borcea} [in ``Mirror symmetry. II'', AMS/IP Stud. Adv. Math. 1, 717-743 (1997)] and \\textit{C. Voisin} [in: JournÃ©es de gÃ©omÃ©trie algÃ©brique, Orsay 1992, AstÃ©risque 218, 273-323 (1993; Zbl 0818.14014)] and works for Calabi-Yau threefolds obtained from a K3 surface \\(S\\) with holomorphic involution \\(i\\) and an elliptic curve \\(A\\) by resolving singularities of \\(S\\times A/(i,j)\\), \\(j\\) being the involution on \\(A\\) defined by negation. \n\n\nThe author states two important conjectures regarding the mathematical formulation of mirror symmetry, the so-called ``Hodge-theoretic mirror symmetry conjecture'' and ``Converse conjecture''. More popular conjectures or ``mirror symmetry tests'', like the presence of isomorphisms between certain Hodge spaces preserving correlation functions, are also explained. The paper includes also some computations that give evidences supporting the mirror symmetry conjectures. As the author says, the subject of mirror symmetry is a rapidly developing one, and very much has been done since 1994.\n\n\nThe paper includes a postscript sketching some of these developments until 1997, most of them still alive and producing new and interesting open problems. We list some of the theories described:\n\n\nThe generalization and simpler definition of the Gromov-Witten invariants, including the purely algebraic theory of \\textit{M. Kontsevich} and \\textit{Yu. Manin} [Commun. Math. Phys. 164, No. 3, 525-562 (1994; Zbl 0853.14020)].\n\n\nThe ``homological'' mirror conjecture, due to \\textit{M. Kontsevich} [in: Proc. Int. Congr. Math., ZÃ¼rich 1994, Vol. 1, 120-139 (1995; Zbl 0846.53021)] and \\textit{K. Fukaya} [in: Proc. GARC Workshop, Seoul Nat. Univ. 1993, Lect. Notes Ser., Seoul. 18, 1-102 (1993; Zbl 0853.57030)] involving the \\(A^\\infty\\)-categories of Lagrangian submanifolds.\n\n\nThe mathematical proof of a certain number of striking enumerative predictions, for instance \\textit{A. B. Givental}'s proof [Sel. Math., New Ser. 1, No. 2, 325-345 (1995; Zbl 0920.14028), Proc. Int. Congr. Math., ZÃ¼rich 1994, Vol. 1, 472-480 (1995; Zbl 0863.14021) and Int. Math. Res. Not. 1996, No. 13, 613-663 (1996; Zbl 0881.55006)], that for complete intersection Calabi-Yau in projective spaces, the ``predicted'' enumerative formulas calculated with the Batyrev-Borisov candidate mirror dual are in fact correct evaluations of the Gromov-Witten invariants, thus proving all the enumerative predictions about the general quintic threefold made by \\textit{P. Candelas, E. Derrick} and \\textit{L. Parkes} [Nucl. Phys. B 407, No. 1, 115-154 (1993; Zbl 0899.32011)].\n\n\nThe new variants of string theory relevant to mirror symmetry. The more important are the so-called type \\(IIA\\) and type \\(IIB\\) string theories. The extra parameters that must be added to the conformal field theory moduli in each string theory are different and should be exchanged under mirror symmetry as shown by \\textit{P. S. Aspinwall} and \\textit{D. R. Morrison} [Phys. Lett. B 355, No. 1-2, 141-149 (1995)] and \\textit{D. R. Morrison} [Nucl. Phys. B, Proc. Suppl. 46, 146-155 (1996)]. This is related to ``\\(D\\)-brane moduli spaces'' and with \\(T\\) and \\(F\\) dualities. \n\n\nThe paper finally refers to one of the most interesting formulations of mirror-symmetry, the theory of \\textit{A. Strominger, S.-T. Yau} and \\textit{E. Zaslow} [Nucl. Phys., B 479, No. 1-2, 243-259 (1996; Zbl 0896.14024)]. In this approach the phenomenon of mirror symmetry on Calabi-Yau threefolds admitting a \\(T^3\\) fibration is interpreted as \\(T\\)-duality on the \\(T^3\\) fibres. According to this formulation one would like to take the mirror dual to a Calabi-Yau manifold as a compactification of the moduli space of its special Lagrangian submanifolds (the \\(T^3\\) tori in the above case) endowed with a suitable complex structure. The author himself [``The geometry underlying mirror symmetry'', in: New Trends in Algebraic Geometry, Sel. Papers Eur-Conf., Warwick 1996, Lond. Math. Soc. Lect. Notes Set. 264, 283-310 (1999)] gave a geometric construction of mirror symmetry consistent with YSZ recipe, showing that the relationship between quantum cohomology and the variation of the Hodge structure should conjecturally follow as a consequence. For elliptic K3 surfaces and Borcea-Voisin Calabi-Yau threefolds, \\textit{M. Gross} and \\textit{P. M. H. Wilson} [Math. Ann. 309, No. 3, 505-531 (1997; Zbl 0901.14024)] showed that the already known geometric models of mirror symmetry are consistent with SYZ.\n\n\nThe paper is a very good introduction to the subject, and explains very clearly the different mathematical theories involved in mirror symmetry and the relationships among them. It covers all aspects of the topic up to date when it was written and is then highly recommendable both to those wishing to get familiar with mirror symmetry and to know the relevant literature (it includes 153 references) and to those wishing to understand the mathematical aspects of this fascinating subject.\n\nFor the entire collection see [Zbl 0866.00043].","If \(H\) is a hyperoval of \(\mathrm{PG}(2,2^h),\) denote with \(\mathcal E\) the set of all lines external to \(H\) and with \(\mathcal S\) the set of all lines secant to \(H\). Using such sets of lines, the authors define three different families of lines \({\mathcal A}_1,\) \({\mathcal A}_2\) \({\mathcal A}_3\) of \(\mathrm{PG}(2,2^h)\) whose dual is a \(k\)-arc. As the complement of a \(k\)-arc is an \(s\)-fold blocking set with \(s+k=2^h+1,\) they construct three examples of multiple blocking sets. The first and the third construction only apply to translation hyperovals.",0
1341964,"zbMATH_ID
1341964    The article consists of two parts. In the firs...
1341964    The article consists of two parts. In the firs...
Name: text, dtype: object","Let \\(G< \\mathrm{GL}_2(\\mathbb{C})\\) be finite small subgroup. By a result of the first author [J. Reine Angew. Math. 549, 221--233 (2002; Zbl 1057.14057)], the \\(G\\)-Hilbert scheme \\(Y\\) gives the minimal resolution of the quotient singularity \\(\\mathbb{A}^2/G\\). If \\(G<\\mathrm{SL}_2(\\mathbb{C})\\) it is known the resolution is crepant and it induces the equivalence of derived categories (McKay Correspondence): \n\\[\n\\Phi:D^b(\\text{coh } Y)\\to D^b(\\text{coh }[\\mathbb{A}^2/G]).\n\\]\n If \\(G\\not <\\mathrm{SL}_2(\\mathbb{C})\\), then \\(Y\\) is no longer a crepant resolution and \\(\\Phi\\) is no longer an equivalence but is a full and faithful embedding with admissible essential image, which is generated by \\(\\{\\mathcal{O}_{\\mathbb{A}^2}\\otimes\\rho\\}\\) where \\(\\rho\\) runs over the special irreducible representations of \\(G\\).\n\nThe main result of the paper under review proves that for a suitable fully faithful functor \n\\[\n\\Phi':D^b(\\text{coh } Y)\\to D^b(\\text{coh }[\\mathbb{A}^2/G])\n\\]\n there is an exceptional collection \\(E_1,\\dots, E_n \\in D^b(\\text{coh }[\\mathbb{A}^2/G]) \\) and a semi-orthogonal decomposition \n\\[\nD^b(\\text{coh }[\\mathbb{A}^2/G])=\\langle E_1,\\dots,E_n, \\Phi'(D^b(\\text{coh } Y))\\rangle,\n\\]\n where \\(n\\) is the number of non-special irreducible representations of \\(G\\). If \\(G\\) is cyclic then one can take \\(\\Phi'=\\Phi\\). This result can be viewed as a continuation of the result of Craw-Wemyss that describes \\(D^b(\\text{coh } Y)\\) as the derived category of modules over the path algebra of the special McKay quiver. From this, the paper under review deduces the global version in which \\(\\mathcal{X}\\) is the canonical stack associated to a surface \\(X\\) with at worst quotient singularities. The proof of the main result consists of several steps. It is first proven for cyclic subgroups. Next, for \\(G_0=G\\cap \\mathrm{SL}_2(\\mathbb{C})\\) which is a normal subgroup of \\(G\\), and \\(A=G/G_0\\) one obtains an equivalence \n\\[\n\\Phi_0:D^b(\\text{coh } [Y_0/A])\\to D^b(\\text{coh }[\\mathbb{A}^2/G])\n\\]\n where \\(Y_0\\) is the \\(G_0\\)-Hilbert scheme. The stack \\([Y_0/A]\\) is obtained by the iterated root constructions from a canonical stack whose coarse moduli space has a minimal resolution isomorphic to a (non-minimal resolution) of \\(\\mathbb{A}^2/G\\). The theorem is proven by finding the orthogonal decompositions the derived categories of these various intermediate stacks and resolutions.",1
1566951,"Let \\(k\\) be a field, and let \\(E\\) be a free \\(k\\)-bimodule, or in other words, a two-sided \\(k\\)-vector space. The author introduces a concept of admissible two-sided \\(k\\)-vector spaces and defines for such a space a noncommutative analog of the symmetric algebra. Then he computes the skew fields of fractions for some classes of admissible two-sided vector spaces. The components of degree zero of these skew fields can be considered as function fields of noncommutative ruled surfaces (cf. [\\textit{M. Artin, M. Van den Bergh}, J. Algebra 133, No. 2, 249-271 (1990; Zbl 0717.14001)]). As an application a clear description of the birational equivalence classes of certain types of such surfaces is obtained.","Let \\((X,\\sigma)\\) a pair consisting of a noetherian scheme \\(X\\) over a field \\(k\\) and an automorphism \\(\\sigma\\) of \\(X\\). An invertible sheaf \\({\\mathcal L}\\) on \\(X\\) is \\(\\sigma\\)-ample if for every coherent sheaf \\({\\mathcal F}\\) on \\(X\\), \\(H^ q(X,{\\mathcal L}\\otimes {\\mathcal L}^{\\sigma}\\otimes...\\otimes {\\mathcal L}^{\\sigma^{n-1}}\\otimes {\\mathcal F})=0\\) for \\(q>0\\) and sufficiently large \\(n\\). Let \\(B=B(X,\\sigma,{\\mathcal L})\\) be the twisted homogeneous coordinate ring of \\(X\\). On the other hand, let (\\({\\mathcal O}_ X\\)-mod) be the category of quasi-coherent sheaves on \\(X\\), and (\\(B\\)-gr) the category of graded left modules over a graded ring \\(B\\). A graded module \\(M=\\oplus M_ n\\) is called \\textit{right bounded} if \\(M_ n=0\\) for sufficiently large \\(n\\) and \\textit{torsion} if it is a direct limit of right bounded modules. Let (tors) be the subcategory of (\\(B\\)-gr) of torsion modules. \n\n\nThe aim of the paper is to prove that the categories (\\({\\mathcal O}_ X\\)-mod) and (\\(B\\)-gr)/(tors) are naturally equivalent and that \\(B\\) is a finitely generated noetherian \\(k\\)-algebra. Finally, the case of a smooth surface is considered.",1
1566951,"Let \\(k\\) be a field, and let \\(E\\) be a free \\(k\\)-bimodule, or in other words, a two-sided \\(k\\)-vector space. The author introduces a concept of admissible two-sided \\(k\\)-vector spaces and defines for such a space a noncommutative analog of the symmetric algebra. Then he computes the skew fields of fractions for some classes of admissible two-sided vector spaces. The components of degree zero of these skew fields can be considered as function fields of noncommutative ruled surfaces (cf. [\\textit{M. Artin, M. Van den Bergh}, J. Algebra 133, No. 2, 249-271 (1990; Zbl 0717.14001)]). As an application a clear description of the birational equivalence classes of certain types of such surfaces is obtained.","Für eine spezielle Anordnung eines Schwingungskreises werden in Anlehnung an die Formeln von Lord \textit{Kelvin} die Differentialgleichungen aufgestellt, integriert und diskutiert.",0
