document_id,citation_de,citations_list
98003,4026670,['4026670']
4147036,192740; 4117398,"['192740', '4117398']"
1369555,605395,['605395']
598151,598150,['598150']
1229840,109509,['109509']
740328,3944984,['3944984']
6127003,6116834,['6116834']
5574589,5316914,['5316914']
4146004,0142.272; 3781380; 3491091; 4122060; 4142120,"['4122060', '4142120']"
1557477,1285995,['1285995']
1107791,917800; 917799,"['917800', '917799']"
4199000,4198999,['4198999']
524016,24062,['24062']
1668912,1355428,['1355428']
2145210,3951325,['3951325']
77952,169531,['169531']
5001783,1191292,['1191292']
4196359,4196358,['4196358']
1746997,3881475,['3881475']
1599958,1450829,['1450829']
1080272,913020,['913020']
5917809,5319875; 2109338; 757426,"['5319875', '2109338', '757426']"
5136976,5081793,['5081793']
553878,562657,['562657']
4110143,3906399; 3906400,"['3906399', '3906400']"
4136188,4136187; 193534,"['4136187', '193534']"
4080901,4080900,['4080900']
54512,4210459,['4210459']
549724,4057800,['4057800']
895245,440495,['440495']
2075900,1749662,['1749662']
939672,3985651,['3985651']
28560,4194302,['4194302']
1751261,1631833; 1695579,"['1631833', '1695579']"
4153481,3892228; 3921530,"['3892228', '3921530']"
26560,4203179,['4203179']
7672904,7672897; 7692173,"['7672897', '7692173']"
2064373,1944630,['1944630']
2129142,222490,['222490']
1532355,193455,['193455']
1553180,1556968,['1556968']
624974,4150250,['4150250']
4048920,3843072,['3843072']
3991835,3879215,['3879215']
5242193,5242147,['5242147']
4139205,3909645,['3909645']
1129175,935172,['935172']
1042636,4112840; 759478,"['4112840', '759478']"
4033697,4014675,['4014675']
597288,53054; 597201,"['53054', '597201']"
1654984,4159003,['4159003']
10282,57913,['57913']
2188558,1320377,['1320377']
6774444,21940,['21940']
1013770,1558,['1558']
1610165,865796,['865796']
8534,4026036,['4026036']
869241,515272; 802369,"['515272', '802369']"
500594,4154589,['4154589']
3850426,3850425,['3850425']
624975,4137843,['4137843']
4096659,4007546,['4007546']
51884,50703,['50703']
2171928,2070181,['2070181']
6723073,6503681,['6503681']
3887798,3847505,['3847505']
1957174,1027761,['1027761']
5690742,5161934,['5161934']
1496023,1415589,['1415589']
2049016,4092208,['4092208']
5538120,5538118,['5538118']
1584964,1423870,['1423870']
1668842,3940400,['3940400']
1347324,40285,['40285']
5590276,5578962,['5578962']
269905,13546,['13546']
4019301,3912591,['3912591']
1585010,931993,['931993']
2098050,2098168,['2098168']
2213986,1829310,['1829310']
5045970,5027330,['5027330']
6008669,952544; 1286356,"['952544', '1286356']"
4037988,3920643,['3920643']
4191585,4191586; 4191587; 4191588,"['4191586', '4191587', '4191588']"
599954,91500,['91500']
1595598,1595553; 781178,"['1595553', '781178']"
1429048,1472411,['1472411']
6019773,5578922,['5578922']
6086000,5005857,['5005857']
815594,4185759,['4185759']
123530,4144797,['4144797']
800352,739095,['739095']
4080900,4080901,['4080901']
1721482,1314868,['1314868']
6039382,5290873,['5290873']
4136195,3922930,['3922930']
434811,434810; 4122063; 4189823; 4101298; 3582238; 3719226,"['434810', '4122063', '4189823', '4101298', '3582238']"
3198925,3163809,['3163809']
1127708,733360,['733360']
6769128,2174582,['2174582']
1030909,957424,['957424']
5912270,1992558,['1992558']
647604,4185889,['4185889']
3193844,3193845,['3193845']
5231945,2168737,['2168737']
5984001,5864257,['5864257']
861846,57041,['57041']
459160,58382,['58382']
898216,223029,['223029']
3685503,3645102,['3645102']
3967286,3844504,['3844504']
3851180,3601643,['3601643']
5241269,2220832,['2220832']
5780167,4188535,['4188535']
5954603,5722816; 604937,"['5722816', '604937']"
7393831,3016223,['3016223']
5149008,1701043,['1701043']
4012829,3929219; 3929197,"['3929219', '3929197']"
1195008,1195007,['1195007']
4185744,3995759; 4010590,"['3995759', '4010590']"
1808522,1870287,['1870287']
599939,4214780,['4214780']
5018134,716832,['716832']
4155326,4155325,['4155325']
1062555,943751,['943751']
1599213,911907,['911907']
4143025,3984102,['3984102']
5261836,5552184,['5552184']
710903,3893953,['3893953']
915307,722257,['722257']
5574433,2057407; 1721447,"['2057407', '1721447']"
3912726,3904940,['3904940']
1488926,2705556,['2705556']
5176874,2633547,['2633547']
2103672,1880096,['1880096']
269843,3922746; 3910472,"['3922746', '3910472']"
5984387,5610533; 5550076,"['5610533', '5550076']"
2009285,1308076; 1340810,"['1308076', '1340810']"
7574449,7335966,['7335966']
1506850,1196881,['1196881']
1151303,1151302,['1151302']
5041044,2064565,['2064565']
5148978,1423868,['1423868']
6029781,11270,['11270']
801050,468994,['468994']
861647,861627,['861627']
1908103,1908102,['1908102']
2162779,1835896,['1835896']
3999152,3864392,['3864392']
832115,786579,['786579']
1921358,618265,['618265']
1930205,1901433,['1901433']
1930206,1901433,['1901433']
4187483,3928746,['3928746']
6103344,4052492,['4052492']
5061871,4091880,['4091880']
6080548,1076495,['1076495']
753779,4116521,['4116521']
740303,727017,['727017']
1091170,729161,['729161']
870032,3986152,['3986152']
6157946,5851607,['5851607']
625973,625974,['625974']
28911,28912,['28912']
4138795,4071937,['4071937']
2138226,1116291,['1116291']
1367746,561412,['561412']
3762337,3762336,['3762336']
63916,4185430; 65086,"['4185430', '65086']"
2110416,4091880,['4091880']
4042162,4042161,['4042161']
1396384,709417,['709417']
1577949,691561,['691561']
2074318,3083478; 2522375,"['3083478', '2522375']"
429052,43547,['43547']
2099396,3109763,['3109763']
1102831,3865904,['3865904']
5304992,599004,['599004']
981404,483100,['483100']
4205909,4153021,['4153021']
4048616,3988229,['3988229']
5821954,5549284,['5549284']
5133229,2190603,['2190603']
1660664,1563504,['1563504']
5145860,3416692,['3416692']
4101008,4101007,['4101007']
4101571,4077706,['4077706']
1028874,912456,['912456']
5073556,2066256,['2066256']
2164180,1744228,['1744228']
3202853,3194489; 3204994,['3194489']
446934,58159,['58159']
4157807,4088865,['4088865']
786385,783477,['783477']
164907,25380,['25380']
3860570,3860571,['3860571']
6147703,1958611,['1958611']
1515832,4020069; 739283,"['4020069', '739283']"
428246,4165269,['4165269']
1880573,1969054,['1969054']
6273929,5547359,['5547359']
3987589,3891654,['3891654']
1134688,1101434,['1101434']
5848599,5139358,['5139358']
6155102,6025612,['6025612']
5790106,4119192,['4119192']
1894689,1523545,['1523545']
5522164,3968961; 4127536,"['3968961', '4127536']"
4185917,4185918; 4154674,"['4185918', '4154674']"
1810357,788612,['788612']
5127331,2147155,['2147155']
7642722,7309993,['7309993']
5230870,2246721,['2246721']
4054475,4054474,['4054474']
3647367,3606391,['3606391']
937821,4120551,['4120551']
3963153,3963152,['3963152']
7701280,6845833; 7422431,"['6845833', '7422431']"
1254492,1254491,['1254491']
6182274,5009847; 5674934,"['5009847', '5674934']"
1750735,1387501,['1387501']
